index,speaker_id,path
0,1,/FAEZEH-20200715-WA0000.wav
1,1,/FAEZEH-20200715-WA0001.wav
2,1,/FAEZEH-20200715-WA0002.wav
3,2,/FATI-20200714-WA0002.wav
4,2,/FATI-20200714-WA0003.wav
5,2,/FATI-20200714-WA0005.wav
6,3,/LEILA-20200715-WA0003.wav
7,3,/LEILA-20200715-WA0004.wav
8,3,/LEILA-20200715-WA0005.wav
9,4,/MAHTAB-20200714-WA0006.wav
10,4,/MAHTAB-20200714-WA0007.wav
11,4,/MAHTAB-20200714-WA0008.wav
12,5,/MOHSEN-20200716-WA0007.wav
13,5,/MOHSEN-20200716-WA0008.wav
14,5,/MOHSEN-20200716-WA0009.wav
15,6,/REZA-20200716-WA0003.wav
16,6,/REZA-20200716-WA0004.wav
17,6,/REZA-20200716-WA0005.wav
18,6,/REZA-20200716-WA0006.wav
19,7,/SAJAD-20200716-WA0000.wav
20,7,/SAJAD-20200716-WA0001.wav
21,7,/SAJAD-20200716-WA0002.wav
22,8,/TAYEB-20200714-WA0009.wav
23,8,/TAYEB-20200714-WA0010.wav
24,8,/TAYEB-20200714-WA0011.wav
