,class,path
0,1,/FAEZEH-20200715-WA0000.wav-chunk-0
1,1,/FAEZEH-20200715-WA0000.wav-chunk-1
2,1,/FAEZEH-20200715-WA0000.wav-chunk-2
3,1,/FAEZEH-20200715-WA0000.wav-chunk-3
4,1,/FAEZEH-20200715-WA0000.wav-chunk-4
5,1,/FAEZEH-20200715-WA0000.wav-chunk-5
6,1,/FAEZEH-20200715-WA0000.wav-chunk-6
7,1,/FAEZEH-20200715-WA0000.wav-chunk-7
8,1,/FAEZEH-20200715-WA0000.wav-chunk-8
9,1,/FAEZEH-20200715-WA0000.wav-chunk-9
10,1,/FAEZEH-20200715-WA0000.wav-chunk-10
11,1,/FAEZEH-20200715-WA0000.wav-chunk-11
12,1,/FAEZEH-20200715-WA0000.wav-chunk-12
13,1,/FAEZEH-20200715-WA0000.wav-chunk-13
14,1,/FAEZEH-20200715-WA0000.wav-chunk-14
15,1,/FAEZEH-20200715-WA0000.wav-chunk-15
16,1,/FAEZEH-20200715-WA0001.wav-chunk-0
17,1,/FAEZEH-20200715-WA0001.wav-chunk-1
18,1,/FAEZEH-20200715-WA0001.wav-chunk-2
19,1,/FAEZEH-20200715-WA0001.wav-chunk-3
20,1,/FAEZEH-20200715-WA0001.wav-chunk-4
21,1,/FAEZEH-20200715-WA0001.wav-chunk-5
22,1,/FAEZEH-20200715-WA0001.wav-chunk-6
23,1,/FAEZEH-20200715-WA0001.wav-chunk-7
24,1,/FAEZEH-20200715-WA0001.wav-chunk-8
25,1,/FAEZEH-20200715-WA0001.wav-chunk-9
26,2,/FATI-20200714-WA0002.wav-chunk-0
27,2,/FATI-20200714-WA0002.wav-chunk-1
28,2,/FATI-20200714-WA0002.wav-chunk-2
29,2,/FATI-20200714-WA0002.wav-chunk-3
30,2,/FATI-20200714-WA0002.wav-chunk-4
31,2,/FATI-20200714-WA0002.wav-chunk-5
32,2,/FATI-20200714-WA0002.wav-chunk-6
33,2,/FATI-20200714-WA0002.wav-chunk-7
34,2,/FATI-20200714-WA0002.wav-chunk-8
35,2,/FATI-20200714-WA0002.wav-chunk-9
36,2,/FATI-20200714-WA0002.wav-chunk-10
37,2,/FATI-20200714-WA0002.wav-chunk-11
38,2,/FATI-20200714-WA0003.wav-chunk-0
39,2,/FATI-20200714-WA0003.wav-chunk-1
40,2,/FATI-20200714-WA0003.wav-chunk-2
41,2,/FATI-20200714-WA0003.wav-chunk-3
42,2,/FATI-20200714-WA0003.wav-chunk-4
43,2,/FATI-20200714-WA0003.wav-chunk-5
44,2,/FATI-20200714-WA0003.wav-chunk-6
45,2,/FATI-20200714-WA0003.wav-chunk-7
46,2,/FATI-20200714-WA0003.wav-chunk-8
47,2,/FATI-20200714-WA0003.wav-chunk-9
48,2,/FATI-20200714-WA0003.wav-chunk-10
49,3,/LEILA-20200715-WA0003.wav-chunk-0
50,3,/LEILA-20200715-WA0003.wav-chunk-1
51,3,/LEILA-20200715-WA0003.wav-chunk-2
52,3,/LEILA-20200715-WA0003.wav-chunk-3
53,3,/LEILA-20200715-WA0003.wav-chunk-4
54,3,/LEILA-20200715-WA0003.wav-chunk-5
55,3,/LEILA-20200715-WA0003.wav-chunk-6
56,3,/LEILA-20200715-WA0003.wav-chunk-7
57,3,/LEILA-20200715-WA0003.wav-chunk-8
58,3,/LEILA-20200715-WA0003.wav-chunk-9
59,3,/LEILA-20200715-WA0003.wav-chunk-10
60,3,/LEILA-20200715-WA0003.wav-chunk-11
61,3,/LEILA-20200715-WA0003.wav-chunk-12
62,3,/LEILA-20200715-WA0003.wav-chunk-13
63,3,/LEILA-20200715-WA0004.wav-chunk-0
64,3,/LEILA-20200715-WA0004.wav-chunk-1
65,3,/LEILA-20200715-WA0004.wav-chunk-2
66,3,/LEILA-20200715-WA0004.wav-chunk-3
67,3,/LEILA-20200715-WA0004.wav-chunk-4
68,3,/LEILA-20200715-WA0004.wav-chunk-5
69,3,/LEILA-20200715-WA0004.wav-chunk-6
70,3,/LEILA-20200715-WA0004.wav-chunk-7
71,3,/LEILA-20200715-WA0004.wav-chunk-8
72,3,/LEILA-20200715-WA0004.wav-chunk-9
73,3,/LEILA-20200715-WA0004.wav-chunk-10
74,3,/LEILA-20200715-WA0004.wav-chunk-11
75,3,/LEILA-20200715-WA0004.wav-chunk-12
76,4,/MAHTAB-20200714-WA0006.wav-chunk-0
77,4,/MAHTAB-20200714-WA0006.wav-chunk-1
78,4,/MAHTAB-20200714-WA0006.wav-chunk-2
79,4,/MAHTAB-20200714-WA0006.wav-chunk-3
80,4,/MAHTAB-20200714-WA0006.wav-chunk-4
81,4,/MAHTAB-20200714-WA0006.wav-chunk-5
82,4,/MAHTAB-20200714-WA0006.wav-chunk-6
83,4,/MAHTAB-20200714-WA0006.wav-chunk-7
84,4,/MAHTAB-20200714-WA0006.wav-chunk-8
85,4,/MAHTAB-20200714-WA0006.wav-chunk-9
86,4,/MAHTAB-20200714-WA0006.wav-chunk-10
87,4,/MAHTAB-20200714-WA0006.wav-chunk-11
88,4,/MAHTAB-20200714-WA0006.wav-chunk-12
89,4,/MAHTAB-20200714-WA0006.wav-chunk-13
90,4,/MAHTAB-20200714-WA0006.wav-chunk-14
91,4,/MAHTAB-20200714-WA0006.wav-chunk-15
92,4,/MAHTAB-20200714-WA0007.wav-chunk-0
93,4,/MAHTAB-20200714-WA0007.wav-chunk-1
94,4,/MAHTAB-20200714-WA0007.wav-chunk-2
95,4,/MAHTAB-20200714-WA0007.wav-chunk-3
96,4,/MAHTAB-20200714-WA0007.wav-chunk-4
97,4,/MAHTAB-20200714-WA0007.wav-chunk-5
98,5,/MOHSEN-20200716-WA0007.wav-chunk-0
99,5,/MOHSEN-20200716-WA0007.wav-chunk-1
100,5,/MOHSEN-20200716-WA0007.wav-chunk-2
101,5,/MOHSEN-20200716-WA0007.wav-chunk-3
102,5,/MOHSEN-20200716-WA0007.wav-chunk-4
103,5,/MOHSEN-20200716-WA0007.wav-chunk-5
